test_id,feature_area,route,primary_persona,role_matrix,access_control_checks,frontend_checks,priority,status,notes
QA-0047,Manager,/manager,Manager,"Manager|Admin","Manager route enforcement","Scoped dashboard data and no leakage",P1,NOT_TESTED,
QA-0048,Manager,/manager/system-overview,Manager,"Manager|Admin","Manager route enforcement","Scoped metrics and loading states",P1,NOT_TESTED,
QA-0049,Manager,/manager/departments,Manager,"Manager|Admin","Manager scope enforcement","Department selector and list behavior",P1,NOT_TESTED,
QA-0050,Manager,/manager/teams,Manager,"Manager|Admin","Manager scope enforcement","Team list and detail transitions",P1,NOT_TESTED,
QA-0051,Manager,/manager/sub-teams,Manager,"Manager|Admin","Manager scope enforcement","Sub-team list and action visibility",P1,NOT_TESTED,
QA-0052,Manager,/manager/recruitment,Manager,"Manager|HR|Admin","Role-scoped route enforcement","Pipeline/list states by scope",P1,NOT_TESTED,
QA-0053,Manager,/manager/org-chart,Manager,"Manager|HR|Admin","Org chart route gating","Tree render; presence updates",P1,NOT_TESTED,
QA-0054,HR,/hr,HR,"HR|Admin","HR route enforcement","Hub widgets and scoped data",P1,NOT_TESTED,
QA-0055,HR,/hr/records,HR,"HR|Admin","HR route enforcement","Records list/search/filter states",P1,NOT_TESTED,
QA-0056,HR,/hr/records/[userId],HR,"HR|Admin","Record-level HR access","Sensitive section visibility",P0,NOT_TESTED,
QA-0057,HR,/hr/custom-fields,HR,"HR|Admin","HR route enforcement","Custom field CRUD microstates",P1,NOT_TESTED,
QA-0058,HR,/hr/leave,HR,"HR|Admin|Manager","Role-scoped action controls","Approval/rejection UI states",P1,NOT_TESTED,
QA-0059,HR,/hr/absence-reporting,HR,"HR|Admin","HR route enforcement","Report list/detail UI states",P1,NOT_TESTED,
QA-0060,HR,/hr/attendance-settings,HR,"HR|Admin|Finance","Settings route controls by role","Form validation and persistence feedback",P1,NOT_TESTED,
QA-0061,HR,/hr/timesheets,HR,"HR|Admin|Finance|Manager","Role-scoped visibility","Review actions and row states",P1,NOT_TESTED,
QA-0062,HR,/hr/wagesheets,HR,"HR|Admin|Finance","Role-scoped visibility","Totals and period switching",P1,NOT_TESTED,
QA-0063,HR,/hr/performance,HR,"HR|Admin|Manager","Role-scoped visibility","Cycle list and state chips",P1,NOT_TESTED,
QA-0064,HR,/hr/performance/[cycleId],HR,"HR|Admin|Manager","Cycle-level access enforcement","Detail and action state transitions",P1,NOT_TESTED,
QA-0065,HR,/hr/one-on-ones,HR,"HR|Admin|Manager|Employee","Participant/role visibility","List and privacy boundaries",P1,NOT_TESTED,
QA-0066,HR,/hr/org-chart,HR,"HR|Admin|Manager","Role-scoped route enforcement","Tree render and live status badges",P1,NOT_TESTED,
QA-0067,HR,/hr/hr-metric-alerts,HR,"HR|Admin","HR route enforcement","Threshold cards and empty states",P1,NOT_TESTED,
QA-0068,HR Hiring,/hr/hiring,HR,"HR|Admin|Manager","Role-scoped route enforcement","Hub render and navigation integrity",P1,NOT_TESTED,
QA-0069,HR Hiring,/hr/hiring/new-request,HR,"HR|Admin|Manager","Role-scoped create access","Form validation and submit UX",P1,NOT_TESTED,
QA-0070,HR Hiring,/hr/hiring/requests,HR,"HR|Admin|Manager","Role-scoped list access","List/filter/empty states",P1,NOT_TESTED,
QA-0071,HR Hiring,/hr/hiring/requests/[id],HR,"HR|Admin|Manager","Record-level scope enforcement","Detail view and action visibility",P1,NOT_TESTED,
QA-0072,HR Hiring,/hr/hiring/jobs,HR,"HR|Admin|Manager","Role-scoped list access","List/filter/empty states",P1,NOT_TESTED,
QA-0073,HR Hiring,/hr/hiring/applications,HR,"HR|Admin|Manager","Role-scoped list access","Pipeline stage chip behavior",P1,NOT_TESTED,
QA-0074,HR Hiring,/hr/hiring/interviews,HR,"HR|Admin|Manager","Role-scoped route enforcement","Schedule/list/detail states",P1,NOT_TESTED,
QA-0075,HR Hiring,/hr/hiring/templates,HR,"HR|Admin","Role-scoped template management","CRUD validation and preview states",P2,NOT_TESTED,
QA-0076,HR Jobs,/hr/jobs,HR,"HR|Admin|Manager","Role-scoped list access","List/filter/empty states",P1,NOT_TESTED,
QA-0077,HR Jobs,/hr/jobs/[id]/edit,HR,"HR|Admin|Manager","Edit scope enforcement","Form validation and save behavior",P1,NOT_TESTED,
QA-0078,HR Jobs,/hr/jobs/[id]/applications,HR,"HR|Admin|Manager","Record-level scope enforcement","List/detail stage transitions",P1,NOT_TESTED,
QA-0079,HR Offers,/hr/offer-templates,HR,"HR|Admin","Role-scoped route enforcement","List/search/empty states",P2,NOT_TESTED,
QA-0080,HR Offers,/hr/offer-templates/new,HR,"HR|Admin","Create access enforcement","Form validation and submit UX",P2,NOT_TESTED,
QA-0081,HR Offers,/hr/offer-templates/[id]/edit,HR,"HR|Admin","Edit access enforcement","Form validation and save UX",P2,NOT_TESTED,
QA-0082,HR Onboarding,/hr/onboarding,HR,"HR|Admin|Manager","Role-scoped list/hub access","Run list states and progress chips",P1,NOT_TESTED,
QA-0083,HR Onboarding,/hr/onboarding/[runId],HR,"HR|Admin|Manager","Run-level scope enforcement","Task checklist and status updates",P1,NOT_TESTED,
QA-0084,Admin,/admin,Admin,"Admin|Founder","Admin-only route enforcement","Dashboard render and navigation integrity",P1,NOT_TESTED,
QA-0085,Admin,/admin/settings,Admin,"Admin|Founder","Admin-only route enforcement","Settings save/error states",P1,NOT_TESTED,
QA-0086,Admin,/admin/system-overview,Admin,"Admin|Founder","Admin-only route enforcement","Metrics/cards and state handling",P1,NOT_TESTED,
QA-0087,Admin,/admin/integrations,Admin,"Admin|Founder","Admin-only route enforcement","Integration status and error UX",P1,NOT_TESTED,
QA-0088,Admin,/admin/users,Admin,"Admin|Founder","Admin-only route enforcement","User list/filter/edit modal behavior",P0,NOT_TESTED,
QA-0089,Admin,/admin/roles,Admin,"Admin|Founder","Admin-only route enforcement","Role matrix and override interactions",P0,NOT_TESTED,
QA-0090,Admin,/admin/teams,Admin,"Admin|Founder","Admin-only route enforcement","Team CRUD microstates",P1,NOT_TESTED,
QA-0091,Admin,/admin/sub-teams,Admin,"Admin|Founder","Admin-only route enforcement","Sub-team CRUD microstates",P1,NOT_TESTED,
QA-0092,Admin,/admin/departments,Admin,"Admin|Founder","Admin-only route enforcement","Department CRUD microstates",P1,NOT_TESTED,
QA-0093,Admin,/admin/categories,Admin,"Admin|Founder","Admin-only route enforcement","Category CRUD behavior",P2,NOT_TESTED,
QA-0094,Admin,/admin/notifications,Admin,"Admin|Founder","Admin-only route enforcement","Feed/filter and delivery states",P2,NOT_TESTED,
QA-0095,Admin,/admin/privacy,Admin,"Admin|Founder","Admin-only route enforcement","Privacy controls and validation",P2,NOT_TESTED,
QA-0096,Admin,/admin/scan-logs,Admin,"Admin|Founder","Admin-only route enforcement","Log table states and filtering",P2,NOT_TESTED,
QA-0097,Admin,/admin/pending,Admin,"Admin|Founder","Admin-only route enforcement","Pending list and action controls",P2,NOT_TESTED,
QA-0098,Admin,/admin/applications,Admin,"Admin|Founder|HR","Role-scoped list access","Pipeline/list states and actions",P1,NOT_TESTED,
QA-0099,Admin,/admin/recruitment,Admin,"Admin|Founder|HR|Manager","Role-scoped list access","List/detail state consistency",P1,NOT_TESTED,
QA-0100,Admin,/admin/recruitment/[id],Admin,"Admin|Founder|HR|Manager","Record-level scope enforcement","Detail action controls",P1,NOT_TESTED,
QA-0101,Admin,/admin/interviews,Admin,"Admin|Founder|HR|Manager","Role-scoped access","Interview scheduling and status UX",P1,NOT_TESTED,
QA-0102,Admin,/admin/jobs,Admin,"Admin|Founder|HR","Role-scoped access","Jobs list/filter/empty states",P1,NOT_TESTED,
QA-0103,Admin,/admin/jobs/[id]/edit,Admin,"Admin|Founder|HR","Edit scope enforcement","Form validation and save UX",P1,NOT_TESTED,
QA-0104,Admin,/admin/jobs/[id]/applications,Admin,"Admin|Founder|HR","Record-level scope enforcement","Applications list and stage chips",P1,NOT_TESTED,
QA-0105,Admin,/admin/offer-templates,Admin,"Admin|Founder|HR","Role-scoped access","List/empty/search states",P2,NOT_TESTED,
QA-0106,Admin,/admin/offer-templates/new,Admin,"Admin|Founder|HR","Create access enforcement","Form validation and submit UX",P2,NOT_TESTED,
QA-0107,Admin,/admin/offer-templates/[id]/edit,Admin,"Admin|Founder|HR","Edit access enforcement","Form validation and save UX",P2,NOT_TESTED,
QA-0108,Admin,/admin/broadcasts,Admin,"Admin|Founder|HR","Role-scoped route enforcement","Broadcast management states",P2,NOT_TESTED,
QA-0109,Admin,/admin/leave,Admin,"Admin|Founder|HR|Manager","Role-scoped access","Approval actions and status transitions",P1,NOT_TESTED,
QA-0110,Admin,/admin/rota,Admin,"Admin|Founder|HR|Manager","Role-scoped access","Rota state and action controls",P2,NOT_TESTED,
QA-0111,Admin,/admin/rota-import,Admin,"Admin|Founder","Admin-only route enforcement","Import validation and error reporting",P1,NOT_TESTED,
QA-0112,Admin,/admin/discount,Admin,"Admin|Founder","Admin-only route enforcement","Discount config states and validation",P2,NOT_TESTED,
QA-0113,Admin HR,/admin/hr,Admin,"Admin|Founder","Admin-only route enforcement","HR mirror hub state consistency",P1,NOT_TESTED,
QA-0114,Admin HR,/admin/hr/[userId],Admin,"Admin|Founder","Record-level admin access","Sensitive detail sections and tabs",P0,NOT_TESTED,
QA-0115,Admin HR,/admin/hr/custom-fields,Admin,"Admin|Founder","Admin-only route enforcement","Custom field CRUD microstates",P1,NOT_TESTED,
QA-0116,Admin HR,/admin/hr/onboarding,Admin,"Admin|Founder","Admin-only route enforcement","Onboarding hub and list states",P1,NOT_TESTED,
QA-0117,Admin HR,/admin/hr/onboarding/[runId],Admin,"Admin|Founder","Run-level admin access","Run detail/task states",P1,NOT_TESTED,
QA-0118,Admin HR,/admin/hr/performance,Admin,"Admin|Founder","Admin-only route enforcement","Cycle list/status behavior",P1,NOT_TESTED,
QA-0119,Admin HR,/admin/hr/performance/[cycleId],Admin,"Admin|Founder","Cycle-level admin access","Detail actions and state chips",P1,NOT_TESTED,
QA-0120,Admin HR,/admin/hr/one-on-ones,Admin,"Admin|Founder","Admin-only route enforcement","List privacy and action controls",P1,NOT_TESTED,
QA-0121,Admin HR,/admin/hr/absence-reporting,Admin,"Admin|Founder","Admin-only route enforcement","Report list/detail states",P1,NOT_TESTED,
QA-0122,Admin HR,/admin/hr/hr-metric-alerts,Admin,"Admin|Founder","Admin-only route enforcement","Alert threshold cards/state",P1,NOT_TESTED,
QA-0123,Admin HR,/admin/hr/org-chart,Admin,"Admin|Founder|HR|Manager","Role-scoped route enforcement","Tree render and live badge stability",P1,NOT_TESTED,
QA-0124,Discount,/discount,Employee,"Employee|Manager|HR|Finance|Admin","Route visibility by role","Scan/state transitions and copy quality",P2,NOT_TESTED,
QA-0125,Discount,/discount/scan,Employee,"Employee|Manager|HR|Finance|Admin","Route visibility by role","Scanner input and invalid-success states",P2,NOT_TESTED,
QA-0126,Founder,/founders,Founder,"Founder|Admin","Founder-only route enforcement","Dashboard render and restricted controls",P2,NOT_TESTED,
QA-0127,Public Jobs,/jobs,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder","Public accessible route","List loading, empty state, card navigation",P0,NOT_TESTED,
QA-0128,Public Jobs,/jobs/[slug],Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder","Public accessible route","Detail render, invalid slug behavior",P0,NOT_TESTED,
QA-0129,Public Jobs,/jobs/[slug]/apply,Candidate,"Public|Candidate","Auth/ownership behavior in apply flow","Form validation, submit, error handling",P0,NOT_TESTED,
QA-0130,Public Jobs,/jobs/login,Candidate,"Public|Candidate","Candidate auth route behavior","Validation and redirect correctness",P1,NOT_TESTED,
QA-0131,Public Jobs,/jobs/register,Candidate,"Public|Candidate","Candidate auth route behavior","Validation and redirect correctness",P1,NOT_TESTED,
QA-0132,Public Jobs,/jobs/forgot-password,Candidate,"Public|Candidate","Candidate auth route behavior","Reset request UX and messaging",P1,NOT_TESTED,
QA-0133,Public Jobs,/jobs/me,Candidate,"Candidate","Candidate-owned route enforcement","Application list and empty states",P0,NOT_TESTED,
QA-0134,Public Jobs,/jobs/me/profile,Candidate,"Candidate","Candidate-owned route enforcement","Profile save and validation states",P1,NOT_TESTED,
QA-0135,Public Jobs,/jobs/me/[applicationId],Candidate,"Candidate","Candidate-owned record enforcement","Status detail and timeline rendering",P0,NOT_TESTED,
QA-0136,Public Jobs,/jobs/status/[token],Candidate,"Public|Candidate","Token validation behavior","Invalid/expired token UX",P0,NOT_TESTED,
QA-0137,Public Jobs,/jobs/offer-sign/[token],Candidate,"Public|Candidate","Token validation and signing access","Sign flow success/error states",P0,NOT_TESTED,
QA-0138,Onboarding,/onboarding,Employee,"Employee|Manager|HR|Admin","Protected route; assignment visibility","Task list/progress states",P1,NOT_TESTED,
QA-0139,Recruitment,/hr/recruitment,HR,"HR|Admin|Manager","Role-scoped route enforcement","List and filter state integrity",P1,NOT_TESTED,
QA-0140,Recruitment,/admin/recruitment,Admin,"Admin|HR|Manager","Role-scoped route enforcement","List/detail transitions",P1,NOT_TESTED,
QA-0141,Admin Ops,/admin/discount,Admin,"Admin|Founder","Admin-only route enforcement","Discount admin controls and validation",P2,NOT_TESTED,
QA-0142,Admin Ops,/admin/settings,Admin,"Admin|Founder","Admin-only route enforcement","Settings persistence and error handling",P1,NOT_TESTED,
QA-0143,Cross-Cutting,ALL_FRONTEND_ROUTES,QA,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Run full role matrix across every listed route","Accessibility pass, responsive pass, keyboard pass, no console errors",P0,NOT_TESTED,"Master regression row"
